question,A,B,C,D,answer,subject,question_id,,,,,,
Can armed forces be linked to environmental security and in what ways?,Military warfare enhances the ability of people's access to resources and to aid the development in ecologically sustainable ways, it can secure access routes and rights that would otherwise be denied, rebuild infrastructure and equitable access of resources, benefit the management of environmental problems, and also to bolster social institutions and cohesion.,It is when considering the military and the security institutions that some of the greatest contradictions with the concept of environmental security are raised. War impacts negatively on the sustainable growth of the nation but armed forces may be required to manage the effects.,"Stronger militaries and technological advances have reduced the negative impact on the environment having greater impact with fewer materials, whilst the spectre of mass destruction warfare has been reduced with the ending of the Cold War.",,B,security_studies_test,84,In what ways can armed forces be connected to environmental security?,
"This question refers to the following information.
""Lincoln was strongly anti-slavery, but he was not an abolitionist or a Radical Republican and never claimed to be one. He made a sharp distinction between his frequently reiterated personal wish that 'all men everywhere could be free' and his official duties as a legislator, congressman, and president in a legal and constitutional system that recognized the South's right to property in slaves. Even after issuing the Emancipation Proclamation he continued to declare his preference for gradual abolition. While his racial views changed during the Civil War, he never became a principled egalitarian in the manner of abolitionists such as Frederick Douglass or Wendell Phillips or Radical Republicans like Charles Sumner.""
—Eric Foner, The Fiery Trial, 2010
How did President Lincoln's issuance of the Emancipation Proclamation alter the course of the Civil War?",The war came to a swift conclusion because the Proclamation made the Confederacy realize the futility of their cause.,The war grew in scope because the Proclamation caused Great Britain to join the fight on the side of the Union.,President Jefferson Davis of the Confederacy vowed massive resistance to any Union effort to free the slaves.,The war aims of the United States were no longer exclusively focused on the preservation of the Union.,D,high_school_us_history_test,85,,,,,,
"This question refers to the following information.
""I come to present the strong claims of suffering humanity. I come to place before the Legislature of Massachusetts the condition of the miserable, the desolate, the outcast. I come as the advocate of helpless, forgotten, insane and idiotic men and women; of beings, sunk to a condition from which the most unconcerned would start with real horror; of beings wretched in our Prisons, and more wretched in our Alms-Houses. . . .
""If my pictures are displeasing, coarse, and severe, my subjects, it must be recollected, offer no tranquil, refined, or composing features. The condition of human beings, reduced to the extremest states of degradation and misery, cannot be exhibited in softened language, or adorn a polished page.
""I proceed, Gentlemen, briefly to call your attention to the present state of Insane Persons confined within this Commonwealth, in cages, closets, cellars, stalls, pens! Chained, naked, beaten with rods, and lashed into obedience!""
—Dorothea Dix, ""Memorial to the Massachusetts Legislature"" (1843)
Dorothea Dix's testimony to the Massachusetts legislature reflects the influence of which of the following?",Social Darwinism.,The Second Great Awakening.,Second-wave feminism.,The Christian Science movement.,B,high_school_us_history_test,86,,,,,,
"This question refers to the following information.
They ask us how we shall govern these new possessions. I answer: Out of local conditions and the necessities of the case methods of government will grow. If England can govern foreign lands, so can America. If Germany can govern foreign lands, so can America. If they can supervise protectorates, so can America. Why is it more difficult to administer Hawaii than New Mexico or California? Both had a savage and an alien population; both were more remote from the seat of government when they came under our dominion than the Philippines are to-day.
Will you say by your vote that American ability to govern has decayed; that a century's experience in self-rule has failed of a result? Will you affirm by your vote that you are an infidel to American power and practical sense? Or will you say that ours is the blood of government; ours the heart of dominion; ours the brain and genius of administration? Will you remember that we do but what our fathers did—we but pitch the tents of liberty farther westward, farther southward—we only continue the march of the flag?
—Albert Beveridge, ""The March of the Flag,"" Indianapolis, September 16, 1898
In ""The March of the Flag,"" Albert Beveridge supported which of the following?",Populism,War with Great Britain,Constitutional reform in the United States,The creation of an American overseas empire,D,high_school_us_history_test,87,,,,,,
"This question refers to the following information.
BECAUSE no People can be truly happy, though under the greatest Enjoyment of Civil Liberties, if abridged of the Freedom of their Consciences, as to their Religious Profession and Worship: And Almighty God being the only Lord of Conscience, Father of Lights and Spirits; and the Author as well as Object of all divine Knowledge, Faith and Worship, who only doth enlighten the Minds, and persuade and convince the Understanding of People, I do hereby grant and declare, That no Person or Persons, inhabiting in this Province or Territories, who shall confess and acknowledge One almighty God, the Creator, Upholder and Ruler of the World; and profess him or themselves obliged to live quietly under the Civil Government, shall be in any Case molested or prejudiced, in his or their Person or Estate, because of his or their conscientious Persuasion or Practice, nor be compelled to frequent or maintain any religious Worship, Place or Ministry, contrary to his or their Mind.…
—William Penn, Charter of Privileges Granted by William Penn,
esq. to the Inhabitants of Pennsylvania and Territories, October 28, 1701
Which of the following best describes the colony of Pennsylvania?",A charter colony in which the King granted a charter to a group of businessmen or colonists,A proprietary colony in which the King entrusted government to a proprietor and his family,A royal colony in which the King appointed the governor,An independent colony governed outside the authority of the King,B,high_school_us_history_test,88,,,,,,
"The Latino American Party was founded and chartered in a state to promote the political power of Latino Americans. Members pledged themselves to vote only for candidates nominated by the party. At first, membership was open to any voter who pledged himself to those tenets, but after the defeats in a recent election, the Party expelled all nonLatino members upon the grounds that experience showed that only Latinos could be trusted to honor the obligation to vote only for the Party's nominees. Membership is currently confined to Latinos. In every election since, the Party's nominees have easily won election in their Congressional District. Subsequently, the Executive Committee proposes that the Party choose its own Latino candidate for governor of New Mexico in the upcoming election. It will put its slate for U. S. representatives, governor, and U. S. senator before Party members for mail ballot, along with any rival candidates who qualify for the poil. In an action by non-Latino citizens in the relevantCongressional District to enjoin the Latino AmericanParty from conducting the mail ballot primary, thefederal court will most likely","grant relief, because the primary would be proscribed by the Thirteenth Amendment.","grant relief, because the primary would be proscribed by the Fifteenth Amendment.","deny relief, because the Party's primary would be private action and not subject to restriction under the Constitution.","deny relief, because a pre-primary election is not within the scope of federal election control.",B,professional_law_test,89,,,,,,
"A defendant and his friend were drinking heavily one night at the friend's house. They both became intoxicated. After several hours, both the friend and the defendant passed out. In the middle of the night, the defendant awoke with a headache. He went down to the kitchen and poured himself another shot of whiskey. The defendant also felt hungry and decided to make himself some eggs. After fixing his snack, he inadvertently forgot to turn off the stove. A gas leak occurred, causing a fire that burned down the house. If the defendant is charged with arson, he will be found","guilty, because the defendant was reckless.","guilty, because the defendant was criminally negligent.","not guilty, because the defendant did not commit a felony.","not guilty, because arson requires the presence of malice.",D,professional_law_test,90,,,,,,
"Two men agreed to burglarize a home. While they were planning the burglary, the two men learned that the home had a sophisticated alarm system that needed to be disarmed. One of the men told the other that he knew an alarm specialist who could help disarm the security system. One of the men then approached the alarm specialist and asked if he would assist them in disarming the home's alarm system. The alarm specialist said that he didn't want to participate in the crime but told the man how he could disarm the system himself. The two men thereafter went to the home to commit the burglary. When they arrived at the home, they saw a vicious guard dog patrolling the fenced-in area of the home. Deciding it would be too risky to confront the dog, the two men abandoned their planned burglary. Which of the following is the most accurate statement regarding the criminal liability of the two men and the alarm specialist?",The two men are guilty of conspiracy.,The two men and the alarm specialist are guilty of conspiracy.,The two men are guilty of conspiracy and the two men and the alarm specialist are guilty of attempted burglary.,The two men and the alarm specialist are guilty of both conspiracy and attempted burglary.,B,professional_law_test,91,,,,,,
"A teenager shot and killed a man she said tried to attack her as she was walking home from an all night market. The teenager, 18 years old and 6 feet 3 inches tall, said a very short man placed a knife against her throat and unzipped her dress as she was walking down the street. She pulled a gun from her purse and shot him. The man died of a chest wound. Police said the man, who was 5 feet 5 inches tall and weighed 130 pounds, was an ex-felon, twice convicted of attempted rape. The teenager is charged with the murder of the man, as a result of the above described incident. At trial, the teenager wishes to offer evidence of the fact that the man was previously convicted of attempted rape. The evidence would be","admissible, because it proves the man's disposition to commit rape.","admissible, because the victim's prior convictions would be relevant on the issue of the defendant's self-defense.","inadmissible, because the evidence is being used to prove propensity.","inadmissible, because it violates the Dead Man's Statute.",B,professional_law_test,92,,,,,,
"A manufacturer of snowmobiles produced one model, Model IA, which was a very popular snowmobile. On each of the Model 1 A snowmobiles produced, the manufacturer installed a speed-regulating device that prevented the snowmobiles from exceeding 50 m. p. h. The manufacturer distributed the snowmobile through wholesalers and retailers across the country. In its sales brochures and advertising materials, the manufacturer advises all of its distributors against making any modifications on snowmobiles without first conferring with the manufacturer's staff of engineers. The operator of a shop in a mountain community had the exclusive right to distribute Model 1A snowmobiles in the area. Amid complaints from previous buyers regarding Model lA's speed limitations, the operator removed the speed regulators from all the Model 1A snowmobiles in stock. A buyer purchased from the operator one of the Model 1A snowmobiles that had the speed regulator removed. One day, the buyer was driving the Model 1A snowmobile through a snow-covered field, at speeds in excess of 70 m. p. h. The snowmobile hit a snow-covered rock, causing the buyer to lose control of the snowmobile, crash into a tree, and suffer serious injuries. If the buyer institutes a strict liability in tort action, he will most likely recover against",the manufacturer only.,"the manufacturer, even though it was unaware of the removal of the speed regulator.",the operator only.,both the manufacturer and the operator.,C,professional_law_test,93,,,,,,
"Two cars were driving within the legal speed limit as they approached an intersection. There are no traffic lights, stop signs, or warnings posted at this intersection. Both vehicles entered the intersection simultaneously and collided. In the accident, one of the drivers suffered a broken pelvis and internal injuries. Although the other driver's truck was slightly damaged, he did not suffer any physical injuries. Thereafter, the injured driver sued the city for negligence, claiming that the city failed to provide adequate warning at the intersection, which she contended was particularly dangerous and heavily traveled. At trial, the city attorney offers evidence that the intersection has been the same for 14 years, and no other accidents have occurred during that time. Upon objection by the injured driver's attorney, this evidence should be",admitted as relevant evidence of a fact of consequence to the action.,"admitted, provided that the jury is instructed about the danger of inferential negative evidence.","excluded, because it is improper negative evidence.","excluded, because the dangers of unfair prejudice and confusion of the issues may tend to mislead the jury.",A,professional_law_test,94,,,,,,
"Assume this question takes place in a ""lien theory"" state. A woman and her co-habiting partner share a property as joint tenants with the right of survivorship. He has run up debts that he did not tell her about, and so he uses his interest in the property to secretly get a mortgage from the bank. When he dies, the bank attempts to execute on the mortgage. Can it do so? Apply the majority view on this issue.","No, the mortgage lien could not destroy the joint tenancy, and when the partner dies, the property passes by operation of law to the surviving joint tenant.","No, although the mortgage destroyed the joint tenancy, the bank has to get a deed of trust in order to execute on jointly owned property.","Yes, the bank got title to the property by virtue of the mortgage, which destroyed the joint tenancy, and it can execute on its lien.","Yes, the mortgage was the equivalent of a deed of trust and the joint tenancy was severed by the mortgage lien, giving the bank unfettered legal authority to execute on its mortgage.",A,professional_law_test,95,,,,,,
"A defendant was charged with killing a victim during a barroom fight. The defendant claimed that he acted in self-defense when he was attacked by the victim. At trial, the defendant called a witness who testified that he witnessed the altercation and that the victim was the aggressor. The witness further testified that he has known the defendant for 10 years and that the defendant is a peaceable man who was acting reasonably in self-defense. The prosecution then offered the testimony of the victim's brother-in-law, who proposed to testify that the victim was a peaceable and law-abiding person. Upon objection by the defendant's attorney, the brother-in-law's proposed testimony is","admissible, for the purpose of rebutting the contention that the defendant was a peaceable person.","admissible, for the purpose of repudiating the defendant's claim of self-defense.","inadmissible, because the victim's character cannot be proved by the brother-in-law's testimony.","inadmissible, because the defendant did not directly attack the victim's character.",B,professional_law_test,96,,,,,,
"A homeowner awoke one night and observed a thief stealing chickens from his backyard chicken coop. He thought he saw a gun but could not tell for sure. While the thief was exiting with a sack of chickens, the homeowner got his hunting rifle and shot him dead. The authorities charged the homeowner with homicide. At the trial, he defended on the basis that he was in fear for his safety, and was legally authorized to use deadly force to defend his dwelling and person from the illegal threat. Is the defense to homicide valid under these facts?","Yes, he was authorized to use deadly force where he reasonably believed that the thief had a gun and would harm him.","No, because it is not reasonable to use deadly force to prevent the theft of the chickens.","No, because a homeowner can never legally use deadly force to stop a theft.","Yes, because a dwelling owner can always use deadly force to protect his property and person from an illegal trespasser or thief.",B,professional_law_test,97,,,,,,
"A center and a quarterback were 14-year-old eighth graders at the local high school. They were both members of the school's junior varsity football team. The center weighed 170 pounds and was stocky in build. The quarterback was lanky and weighed about 145 pounds. The center and the quarterback often engaged in friendly tests of strength, such as arm wrestling and weight lifting contests, to see who was stronger. One afternoon, both youngsters were in the school gymnasium getting ready for football practice. As they were putting on their football uniforms, the center turned to the quarterback and said, ""Hey, weakling, why don't you punch me in the chest with your best shot?"" The quarterback replied, ""No, I'm afraid I might hurt you. "" The center then said, ""Are you kidding? You can't hurt me. C'mon, give me your best shot. "" The center stood up, stuck out his muscular chest, and prepared to have the quarterback hit him. The quarterback proceeded to cock his fist and then punched the center in the chest as hard as he could. Immediately thereafter, the center slumped to the floor, gasping for air. Realizing that the center was seriously hurt, the quarterback tried to render assistance but to no avail. Seconds later the center stopped breathing and died. Unknown to either the center or the quarterback, the center had a defective heart and suffered a heart attack as a result of the blow to the chest. In a wrongful death action, the quarterback will likely","be held responsible, because he committed a battery by hitting the center in the chest.","be held responsible, because the center's consent was ineffective.","not be held responsible, because the center's consent was effective.","not be held responsible, because the quarterback delivered the punch with greater strength than the center anticipated.",C,professional_law_test,98,,,,,,
"A man owned real estate in fee simple. He transferred a life estate in it over to a friend for the friend's lifetime. When the fee simple owner died, the life estate owner conveyed his interest to his children. The deceased fee simple owner's son sued the children on the basis that the life estate was now broken and he owned the property absolutely. Do the children of the life estate owner have an enforceable interest in the property?","No, the life estate was broken when the owner of the fee simple interest died.","No, the life estate owner is not allowed to convey his interest to other persons.","Yes, the life estate owner became the owner in fee simple when the original fee simple owner predeceased him.","Yes, the life estate owner could convey his life estate to third persons.",D,professional_law_test,99,,,,,,
"A fortune teller told fortunes by means of Tarot cards. An elderly woman, who was worried about her failing health, had heard that the fortuneteller was clairvoyant and could see into the future. Consequently, the woman decided to see the fortuneteller in order to have her Tarot cards read. As the fortuneteller was telling the woman her fortune, she suddenly said, ""I have a vision. If you give me $25,000 tomorrow, you will live to be 100 years old. "" The woman, who was 72 years of age, believed the fortuneteller and gave her the money the next day. The following week, the woman's physician informed her that she had a serious heart disease and he didn't expect her to live for more than a year or two. If the woman asserts a claim against the fortuneteller based on deceit, the plaintiff should","prevail, because she relied to her detriment on the fortune teller's foretelling.","prevail, if the fortuneteller did not honestly believe that the woman would live to be 100 years of age.","not prevail, unless there was a fiduciary relationship between the parties.","not prevail, unless the fortuneteller warranted the truth as believed.",B,professional_law_test,100,,,,,,
"While visiting at his son's home, a grandfather tripped on a toy left on the floor by his four-year- old grandson. The grandfather fell and was severely injured. The grandfather regularly visited his son's home and was aware that the grandson routinely left toys scattered about the house. The son had never warned the grandfather to look out for toys. The grandfather brought an action against his son to recover for his injuries. At trial, after the close of evidence, both the grandfather and the son have moved for judgment as a matter of law as to liability. The jurisdiction has abolished intra-family immunity and applies the traditional rules of landowner liability. What action should the court take?",Deny both motions and submit the case to the jury based on negligence.,Deny both motions and submit the case to the jury based on strict liability.,"Grant the grandfather's motion, because the son is liable as a matter of law for failing to warn about the risk of toys being left on the floor.","Grant the son's motion, because the son had no duty to warn that the grandson might leave toys on the floor.",D,professional_law_test,101,,,,,,
"A man and a woman owned adjoining pieces of land. The man moved a giant magnolia tree from another section of his property and had it replanted on his property at a spot just 10 feet from the woman's property. At that time, the woman protested that by locating the tree so close to her land, the man was increasing the risk of injury to the woman's greenhouse, in which the woman cultivated prizewinning flowers. Hurricanes are quite common in the area. Severalyears after the replanting of the tree, in the midst ofa hurricane, the tree fell on the woman's greenhouse,destroying rare and valuable plants valued at$25,000. The woman asserted a claim against the man to recover damages for the harm caused by the tree falling on the greenhouse. During trial, the only evidence the woman presented was that the hurricane uprooted the tree, causing it to fall onto her property, and thereby resulting in the damage as claimed. At the end of the woman's case, the man moved for a directed verdict. The man's motion will most likely be","granted, because the woman did not produce any evidence to show that the man was negligent.","granted, because the woman's damages resulted from an act of God.","denied, because hurricanes were common in the area.","denied, because the trier of fact may still infer liability for trespass.",A,professional_law_test,102,,,,,,
"A laboratory manufactures nitroglycerin (a heavy, oily, explosive, poisonous liquid used chiefly in making dynamite) at its main plant. An artist who specialized in making delicate glass sculptures had a studio two blocks away from the laboratory's plant. Late one evening, there was an explosion at the laboratory's plant. The force of the explosion caused the artist's studio to be shaken, which resulted in the destruction of valuable artwork in the studio. The artist now asserts a tort action against the laboratory to recover damages. Which of the following, if established, would furnish the laboratory with its best possible defense?",The laboratory used extraordinary care in the manufacture and storage of nitroglycerin and was not guilty of any negligence that was causally connected with the explosion.,The laboratory has a contract with the federal government whereby all the nitroglycerin manufactured at its plant is used in U. S. military weapons systems.,The explosion was caused when lightning (an act of God) struck the plant during an electrical storm.,The harm that the artist suffered would not have resulted but for the abnormal fragility of the artist's work.,D,professional_law_test,103,,,,,,
"A wealthy woman often wore expensive jewelry while walking her dog in the park. Her friends warned her against wearing such valuable jewelry because they feared she would be an easy target for muggers. In order to persuade the woman not to wear her expensive jewelry in the park, her friend decided to play a practical joke. One morning, the friend dressed like a man and hid in an area of the park that she knew the woman customarily walked through. As the woman was strolling through the park with her dog that morning, the friend jumped out from behind the bush brandishing a toy pistol and grabbed the woman's diamond necklace from her neck. Startled, the woman became hysterical and began to plead for her life. The friend then removed her male garb, handed the necklace back to the woman and said, ""I just wanted to frighten you to teach you a lesson. ""If the friend is subsequently prosecuted, she should be found guilty of which, if any, of the following crimes?",Battery.,Assault.,Robbery.,No crime.,A,professional_law_test,104,,,,,,
"The President appointed a delegation to enter into negotiations with representatives of a foreign government to study the problem of preventing the extinction of certain species of rabbits. The delegation's goal was twofold: to study the problem and to formulate regulations in a bilateral agreement that would protect the endangered species and provide for a permanent commission that would continually monitor enforcement of the proposed regulations. After compiling their findings and drafting the necessary regulations, the President and the leader of the foreign government entered into a treaty to form a permanent commission to oversee the problem and to grant it the necessary enforcement powers. Assume that after the treaty goes into effect, a state legislature enacts a statute that provides that ""any licensed rabbit-hunter in the state and its surrounding environs may increase his monthly catch of rabbits from 10 to 15 in each of the specified months of the authorized rabbit-hunting season from the first day of October until the last day of February. "" If challenged, the enactment of the aforementioned statute would most likely be declared","constitutional, because the regulation of hunting is within the area of state action.","constitutional, because the enactment falls within the Tenth Amendment's reservedpowers.","unconstitutional, because it violates the commerce clause.","unconstitutional, because all treaties are the supreme law of the land.",D,professional_law_test,105,,,,,,
"A city imposes a municipal excise tax of $200 per year on commercial artists' studios in that city. It also imposes an excise tax of $100 per year on every itinerant commercial figure drawer for the privilege of using the streets and sidewalks. A credit is allowed against this latter tax for any excise tax paid to the city by the drawer or his employer in respect to the maintenance of an artist's studio in the city. A gallery, located in a neighboring state, has been sending two itinerant artists into the city. Their practice is to draw a picture of a pedestrian, ask him to order a finished painting, and collect a payment of $2. 00. The drawing is sent to a studio, which frames it and mails the framed painting to the customer. The neighboring state does not impose a tax on artists' studios. The gallery challenges the constitutionality of the $100 per year excise tax that is imposed upon its itinerant artists in the city. The court will most likely declare this tax","constitutional, as a valid ad valorem tax on interstate commerce.","constitutional, since the tax was levied not on the commercial art business as a whole but on the local activity of drawing pictures.","unconstitutional, since a state or municipality may not impose a license tax on orders for goods or services to be perfonned in another state.","unconstitutional, as a discriminatory privilege tax.",B,professional_law_test,106,,,,,,
"A homeowner was injured when he slipped and fell in a puddle of water on his sunroom floor; the water had accumulated on the floor during a rainstorm because of leaks in the roof. The roof's manufacturer had supplied nondefective materials to the installer, who was a franchisee (and not an employee) of the manufacturer. The leaks resulted from the carelessness of the installer during the from the carelessness of the installer during the installation of the roof. The installer's truck, which had been parked in front of the homeowner's house during the roof installation, bore the manufacturer's logo. The manufacturer was aware that the truck and the literature supplied by the installer both displayed the manufacturer's logo. Is there any basis for a claim by the homeowner against the manufacturer?","No, because a franchisor has no duty to supervise the conduct of a franchisee.","No, under the rule that a manufacturer is liable only for defects in a product that existed at the time the product left the hands of the manufacturer.","Yes, because the installer was a franchisee of the manufacturer.","Yes, under the rule of apparent agency.",D,professional_law_test,107,,,,,,
"In order to have an irrevocable offer under the Uniform Commercial Code, the offer must",Be made by a merchant to a merchant.,Be contained in a signed writing which gives assurance that the offer will be held open.,State the period of time for which it is irrevocable.,Not be contained in a form supplied by the offeror.,B,professional_law_test,108,,,,,,
"A state enacts a statute that prohibits ""anyone over60 years of age to run for public office. "" A state senator has been in office for three terms and wishes to seek re-election. The senator, who is 61, brings suit challenging the constitutionality of the state statute. Which of the following best states the burden of persuasion?","Since a fundamental right is involved, the state must show the regulation is necessary to vindicate a compelling government interest.","Since no fundamental right is involved, the petitioner must show the age restriction is not rationally related to a legitimate government interest.",The state must show the age regulation substantially furthers an important government objective and does not impair the fundamental right to vote.,The petitioner must show the statute violates due process by depriving her of the right to be a candidate.,B,professional_law_test,109,,,,,,
"A 12-year-old boy decided to play a practical joke. Knowing that his parents were giving a dinner party that evening, the boy filled a bucket with ice-cold water and balanced it on the partially open door of the guest bedroom, thinking that his father would take the guests' coats there to put them on the bed. The boy then went off to play at a friend's house. The boy's father decided to keep all the guests' coats in the hall closet instead of putting them in the guest bedroom. Later that evening, one of the guests mistakenly wandered into the guest bedroom while searching for a bathroom. As the guest opened the door, the bucket fell and hit his head, causing a severe cut that required a dozen stitches. If the guest sues the boy for negligence, the most likely result is","the boy wins, because a child's conduct cannot be negligent.","the boy wins, because the guest unreasonably assumed the risk of entering an unfamiliar room rather than asking for directions to the bathroom.","the boy loses, because this ""practical joke"" posed a risk of severe harm and, therefore, the boy had a duty to exercise as much care as a reasonable adult.","the boy loses, because he did not act with the amount of care that one would expect from a 12-year-old child.",D,professional_law_test,110,,,,,,
"A state election code provides that any political organization whose candidate received 20% or more of the vote at the most recent gubernatorial or presidential election is a political party; other political organizations are construed as political bodies. Political parties conduct primaries, and the winning candidates in each office may have their names placed on the ballot. However, nominees of political bodies or any independent candidate may only have their names placed on the ballot if they file a nominating petition signed by not less than 7% of those eligible to vote at the last election for the offices that they are seeking. The time for circulating the petition is 180 days, which is also the deadline governing party candidates in party primaries. An independent candidate, who desires to be listed on the ballot for the office of governor, challenges the constitutionality of this election law. The court will most likely declare this statute","unconstitutional, because it is a violation of the First and Fourteenth Amendments' rights of free speech.","unconstitutional, because it is a violation of the Fourteenth Amendment's due process clause.","unconstitutional, because it violates the Fifteenth Amendment's voting provisions.","constitutional, because the election code is nonviolative of the equal protection clause.",D,professional_law_test,111,,,,,,
Which of the following types of regulations would not be reviewed under the strict scrutiny standard of review?,Gender,Interstate travel,Privacy,Alienage,A,professional_law_test,112,,,,,,
"A plaintiff filed a tort action in state court but then failed to prosecute the action. The defendant moved to dismiss the action, and the court granted the motion in an order that stated: ""The defendant's motion to dismiss is granted, and this action is dismissed with prejudice."" The court accordingly entered judgment for the defendant. The plaintiff then filed the same claim against the defendant in federal court, invoking diversity jurisdiction. The defendant has asserted the defense of res judicata (claim preclusion) in its answer. Should the federal court give preclusive effect to the state court judgment?","No, because the judgment was entered by a state court, not a federal court.","No, because the state court did not rule on the merits in its dismissal.","Yes, because a dismissal with prejudice operates as a judgment on the merits.","Yes, because a judgment for failure to prosecute operates as a judgment on the merits under the Federal Rules of Civil Procedure.",C,professional_law_test,113,,,,,,
"A plaintiff was suffering from a respiratory infection and his doctor prescribed for him a drug that was manufactured by a pharmaceutical company. With every prescription of this drug distributed, the company inserted a written warning, which stated:""Use of this drug may cause dizziness. ""In accordance with the prescription, the plaintiff received a four-day supply of the drug from his neighborhood pharmacy, which passed along the warning to the plaintiff. After two days, the plaintiff felt much better and went back to work at a home improvement store, where he was the manager. The plaintiff continued to take the drug until his supply was exhausted. On the fourth day, the plaintiff took his final capsule at 2:00 p. m. While he was driving his car home at 5:45 that afternoon, he became dizzy and crashed into a tree. As a result, he received multiple injuries. The plaintiff decided to consult an attorney, who filed a lawsuit on the plaintiff's behalf against the pharmaceutical company, alleging that the company was responsible for the accident and resulting injuries on the theories of negligence and strict liability. At trial, the plaintiff's attorney attempts to introduce evidence that subsequent to this accident, the company expanded its warning to read: ""Use of this drug may cause dizziness. Do not drive for five hours after use. ""Such evidence is",admissible as an indication that the company did not use due care in wording its original warning.,"admissible as a declaration against interest, to prove the possibility of alternate warnings.",inadmissible to show that the company was negligent in wording its original warning.,"inadmissible, because the subsequent warning is not relevant to the feasibility of a modified warning.",C,professional_law_test,114,,,,,,
"The owner of a large family estate decided to sell the property. The owner entered into a valid written brokerage agreement with a real estate broker. According to terms of the agreement, the broker promised to undertake best efforts to sell the estate for a purchase price of not less than $1,250,000. The contract also provided that the broker was to be paid a commission of 5 percent on the gross sale price following the consummation of the sale and transfer of title. The brokerage agreement was effective for a period of two months. One month later, the broker notified the owner that she had found a buyer who wanted to purchase the property for $1,500,000. That same day, the broker handed the owner a real estate sales contract, signed by the buyer, in which the buyer agreed to pay $1,500,000 for the purchase of the estate. The owner investigated the buyer and discovered he had sufficient funds to purchase the estate. However, the owner changed his mind and decided not to sell the property. He told the broker that he would not sign the agreement. In addition, the owner told the broker that he was canceling their brokerage agreement because he was withdrawing the estate from the market. The owner also refused to pay the broker any commission. If the broker now sues the owner for breach of contract, which of the following, if anything, is the broker's proper measure of recovery?","Nothing, because a condition precedent, namely the consummation of the sale and transfer of title, has failed to occur.",Quantum meruit for the reasonable value for services rendered in obtaining a buyer for the property.,"$75,000, or the commission equivalent of 5 percent on the sale of the property for$1,500,000, since all conditions precedent to the owner's duty to pay the commission were fulfilled when the broker produced a buyer who was ready, willing and able to perform.","$75,000, or the commission equivalent of 5 percent on the sale of the property for$1,500,000, since the consummation condition to the owner's duty to pay the commission was excused by the owner's refusal without cause to accept the buyer's offer and perform the land sale contract.",D,professional_law_test,115,,,,,,
"A witness in a murder case does not make the same statement faithfully, but rather he has given different versions of his observations at different times to different persons and investigators. The prosecution put the witness on the stand at trial to tell what he observed. The defendant's counsel impeached his testimony by bringing up prior inconsistent statements and accusing him of changing his story for trial. The prosecution then attempted to rehabilitate his credibility by referencing prior consistent statements. Prior consistent statements are not generally admissible because they are said to be repetitive, cumulative and to unfairly bolster the witness's credibility. Will the court likely allow the prosecution to rehabilitate the witness using prior consistent statements under these facts?","No, because the witness cannot be rehabilitated once a successful impeachment has occurred.","No, because it would tend to confuse the jury with too much conflicting evidence.","Yes, because it is being used to rehabilitate a witness whose credibility was attacked.","Yes, because all repetitive prior statements are important to show the consistency of the witness' testimony.",C,professional_law_test,116,,,,,,
"A homeowner was injured when an automatic cutoff switch failed to function on a snowblower he was using. The cutoff switch had functioned well for a year after he purchased the snowblower but failed after the machine had been improperly repaired by a mechanic. The snowblower's operating manual contained a clear and prominent warning against making the very alteration to the switch mechanism that was made by the mechanic. The mechanic, however, did not have a manual available when he repaired the snowblower. Does the homeowner have a viable claim against the manufacturer of the snowblower for damages?","No, because the homeowner was contributorily negligent in failing to furnish the snowblower's manual to the mechanic.","No, because the injury resulted from a substantial alteration of the snowblower by a third party. a third party.","Yes, because a defect in the snowblower caused the homeowner's injury.","Yes, because the manufacturer should have made the manual available to repair personnel.",B,professional_law_test,117,,,,,,
"A widget manufacturer and a widget retailer signed the following agreement:""The manufacturer promises to sell and the retailer promises to buy 10,000 widgets at $50 per 100. One thousand widgets are to be delivered by the manufacturer on the first day of each of the next 10 months. EACH MONTHLY DELIVERY ISA SEPARATE CONTRACT. Payment to be made within 10 days of receipt of each shipment. ""The agreement between the manufacturer and the retailer may best be interpreted as",a divisible contract.,an installment contract.,10 separate contracts.,a requirements-output contract.,B,professional_law_test,118,,,,,,
"During a custody dispute, a court granted the request of the defendant and appointed a clinical pathologist to conduct the blood grouping tests of the child, the complainant, and the defendant. After first stating all of his qualifications at the non-jury trial, the pathologist testified that he and his associates made five separate blood grouping tests and that all proper safeguards were taken to protect the integrity and accuracy of the tests. The pathologist also offered more detailed testimony about the testing procedures and stated that no discrepancies were found in the testing methods. Finally, the pathologist made the statement that the blood grouping tests were conclusive in proving that the defendant could not be the father of the child. If the complainant's attorney makes an objection to the introduction of the blood tests into evidence, the court will most likely","sustain the objection, because the blood tests are not conclusive evidence of paternity.","sustain the objection, because blood tests have not been generally recognized by the scientific community.","overrule the objection, because the court will take judicial notice of the accuracy of such tests.","overrule the objection, because the blood tests are an admission.",C,professional_law_test,119,,,,,,
What are the types of scanning?,"Port, network, and services","Network, vulnerability, and port","Passive, active, and interactive","Server, client, and network",B,computer_security_test,120,,,,,,
