question,A,B,C,D,answer,subject,question_id
Where do the majority of people choose cremation as their end-of-life option?,Japan,U. S. A.,Kenya,Mexico,A,human_aging_test,188
Radioactivity has existed on Earth since the:,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,conceptual_physics_test,189
Bow waves are made by waves of water that:,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,conceptual_physics_test,190
"When an element sheds a beta particle, the atomic number of the element:",reduces by 1,increases by 1,reduces by 2,increases by 2,B,conceptual_physics_test,191
What can happen when light undergoes interference?,build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,conceptual_physics_test,192
What do the magnetic field lines around a wire carrying current look like?,circles,radial lines,eddy currents,energy loops,A,conceptual_physics_test,193
"If commercial banks do not hold excess reserves and the reserve requirement is 20 percent, how much money will be loaned out by all banks after receiving a $1000 deposit?",$800,"$1,000","$4,000","$5,000",C,high_school_macroeconomics_test,194
"If a bank receives $200 in deposits and the reserve ratio is 0.1, what is the maximum amount the bank can loan out?",$20,$180,"$2,000",Greater than $200 but less than $500,B,high_school_macroeconomics_test,196
 What is the most accurate way to define the crowding-out effect of government borrowing?,the rightward shift in AD in response to the decreasing interest rates from contractionary fiscal policy.,the leftward shift in AD in response to the rising interest rates from expansionary fiscal policy.,the effect of the President increasing the money supply which decreases real interest rates and increases AD.,the effect on the economy of hearing the chairperson of the central bank say that he or she believes that the economy is in a recession.,B,high_school_macroeconomics_test,197
What part of a country's balance of payments accounts for the transactions involving real and financial assets between nations?,The capital account,The official reserves account,The current account,The trade deficit account,A,high_school_macroeconomics_test,198
Expansionary fiscal policy is best utilized to:,eliminate a recessionary gap,reduce inflation,reduce the interest rate,eliminate an inflationary gap,A,high_school_macroeconomics_test,199
"What effect does contractionary monetary policy have on aggregate demand, output, and the price level in the short run?",Increases            Increases      Increases,Increases            Increases      Decreases,Decreases            Decreases      Increases,Decreases            Decreases      Decreases,D,high_school_macroeconomics_test,201
About what percentage of Saudi Arabia's GDP was spent on the military as of 2017?,1%,3%,6%,10%,D,global_facts_test,202
What percentage of people in the United States believed political parties were corrupt in 2013?,36%,56%,76%,96%,C,global_facts_test,203
What are some of the potential limitations on US foreign policy decision-making?,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,D,us_foreign_policy_test,204
Which policies are included in the overall strategy of Offshore Balancing?,Maintaining a balance between the United States and other countries and not entering into alliances,Investing equally in domestic and international security with balanced protection against terrorism and other states,"Embrace multi-polarity, show greater restraint internationally and require other states to meet their own security burdens.",Isolate the US from the international system and not seek global power,C,us_foreign_policy_test,205
Which vitamin deficiency has been linked to enamel defects and higher chances of dental cavities?,Vitamin A,Folic acid,Vitamin C,Vitamin D,D,nutrition_test,206
Do the majority of farmers in developing countries primarily focus on subsistence farming or commercial production?,Almost all are subsistence farmers.,"Very few engage in subsistence production, instead selling almost all of their produce on the market.",Virtually all small-scale producers are engage in some self-provisioning and market sales.,37% engage in pure subsistence production.,C,nutrition_test,207
What alcohol metabolite is a significant contributor to cancer development?,fatty acid ethyl esters (FAEE),acetate,acetaldehyde,alcohol,C,nutrition_test,208
What factors can cause certain biochemical indices of micronutrient status to provide inaccurate results in individuals with infections or inflammatory conditions?,"Because people who are sick often alter their diets, and may eat less food.",Because the accuracy of some laboratory assays may be compromised in samples from people who are sick.,"Because some metabolic pathways are altered in sick people, which changes their micronutrient requirements.",Because an acute phase reaction results in changes in inter-tissue distributions of certain micronutrients.,D,nutrition_test,209
What is the method used to measure the average plasma glucose levels from the past 8-10 weeks?,Hemoglobin A1c,Oral glucose tolerance test (OGTT),Fructosamine test,Fasting plasma glucose concentration,A,nutrition_test,210
"What are the average daily digestible energy intake and metabolisable energy intake of a healthy woman with a gross energy intake of 9279 kJ, faecal energy content of 647 kJ, and urine energy content of 318 kJ?",647 kJ and 318 kJ,9279-318 kJ and 9279-647 kJ,9279+318 kJ and 9279+647 kJ,9279-647 kJ and 9279-(647+318) kJ,D,nutrition_test,211
What brain region was believed to have the most significant role in the Cannon-Bard theory of emotion?,thalamus,hippocampus,medulla,association areas,A,high_school_psychology_test,217
What is the main factor that is closely linked to learned helplessness?,the Barnum effect.,self-serving bias.,an external locus of control.,unconditional positive regard.,C,high_school_psychology_test,218
"While visiting a museum, you examine a statue by walking around it and viewing it from various angles in the room. The retinal images of the statue shift, but you do not notice these changes due to",convergence,motion parallax,perceptual constancy,interpositioning,C,high_school_psychology_test,219
Which subfield of psychology is Dr. Bonneau most likely associated with if he assisted a company in redesigning its offices to improve morale and productivity of employees?,counseling,educational,industrial/organizational,developmental,C,high_school_psychology_test,220
What is the factor that influences the detection of a just-noticeable difference (JND)?,"presence of a ""no stimulus"" control and the sensitivity of the signal-detection equipment",initial determination of the absolute threshold and the variation of the difference threshold,frequency of the existing stimulus and the presence of one or more sensory modalities,intensity of the new stimulus and that of the stimulus already present,D,high_school_psychology_test,221
Which perspective places the most emphasis on self-esteem and realizing one's potential?,humanistic,behavioral,cognitive,psychodynamic,A,high_school_psychology_test,222
What is the most prevalent neurotransmitter in the somatic nervous system that triggers muscle contractions?,acetylcholine,dopamine,endorphins,epinephrine,A,high_school_psychology_test,225
To which process does perception refer to?,receptors gather information from the environment,sense organs transmit information to the brain for initial processing,the brain organizes and interprets sensations,the brain minimizes responses to stimuli that do not change,C,high_school_psychology_test,226
What is a marketing communications activity that involves assisting the sales team and merchandising staff?,Store marketing.,Field marketing.,Sales promotions.,Personal selling.,B,marketing_test,228
"What type of media is focused on attracting shoppers' attention and encouraging them to buy, with examples such as point-of-purchase displays and packaging?",Broadcast media.,Interactive media.,In-store media.,Support media.,C,marketing_test,229
"It has been stated that the three main results of building trust in a relationship are satisfaction, _______, and continuity (Pavlou, 2002).",Reduced perceived risk.,Service recovery.,Service processes.,Efficiency.,A,marketing_test,230
"What does the agency provide to the client after discussing the brief, outlining how they plan to investigate the problem?",Research brief.,Research proposal.,Research question.,Research programme.,B,marketing_test,231
Which type of test is primarily intended to forecast a person's potential success in acquiring new skills?,Achievement,Aptitude,Interest,Personality,B,marketing_test,232
What would you anticipate the condition of the mucosa covering the alveolar process supporting the mandibular teeth to be in a patient with a healthy mouth?,light pink in colour on both sides of the mucogingigival junction.,light pink below the mucogingival junction and red above it.,red below the mucogingival junction and light pink above it.,red on both sides of the mucogingival junction.,C,anatomy_test,233
The diaphrahm separates which two cavities?,Abdominal and pelvic,Cranial and spinal,Thoracic and abdominal,Pericardial and pleural,C,anatomy_test,234
What will happen to a patient's leg if they experience a stroke in the left internal capsule that affects the motor neurons to their right leg?,spastic paralysis.,flaccid paralysis.,tremor.,hyporeflexia.,A,anatomy_test,235
"What term is used to describe Archaic Greek statues that have rigidly frontal poses and clenched fists, reminiscent of ancient Egyptian statues?",Caryatids,Telamones,Discoboloi,Kouroi,D,miscellaneous_test,236
Which of the following groups of animals may possess a backbone and spinal cord?,Mollusks,Chordates,Invertebrates,Echinoderms,B,miscellaneous_test,237
"As of 2014, how many airplanes are currently flying worldwide?",5000,20000,80000,320000,B,miscellaneous_test,238
Which of these painting tools are equipped with bristles?,Easel,Knife,Brush,Palette,C,miscellaneous_test,240
An example of a concurrent power would be:,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,miscellaneous_test,241
What is the term for the process of drilling holes in the skull?,bifurcation,trepanation,aeronomy,skullduggery,B,miscellaneous_test,242
Which of these dishes requires cheese as an essential ingredient?,sushi,french fries,veal parmigiano,chicken pot pie,C,miscellaneous_test,243
What word is not found in the Lewis Carroll poem 'Jabberwocky'?,brillig,bandersnatch,wabe,grelp,D,miscellaneous_test,244
What material are elephant tusks comprised of?,Coral,Ivory,Bone,Calcium,B,miscellaneous_test,245
From which country does Bordeaux wine originate?,France,Spain,Australia,United States,A,miscellaneous_test,246
What layer of the Earth is responsible for generating the geomagnetic field?,Outer core,Crust,Mantle,Inner core,A,miscellaneous_test,248
What is the more common name for the 'Arkansas toothpick'?,Scottie Pippen,spare rib,pinkie finger,Bowie knife,D,miscellaneous_test,249
Which company produces Oreo cookies?,General Mills,Nabisco,Keebler,Kraft,B,miscellaneous_test,250
What is the amount of HCl in moles needed to make a 2 M HCl solution in 3 liters of water?,1 mol,2 mol,3 mol,6 mol,D,miscellaneous_test,251
Butler & Stokes (1969) proposed that the source of working-class support for the Labour Party was:,socialization into working class families and communities,rational calculation of self-interest,issue-based concerns about culture and lifestyle,false consciousness and the acceptance of hegemonic values,A,sociology_test,252
"In 1991, Scott coined the term 'power elite' to refer to:","the ruling class, or bourgeoisie, who exploit the proletariat",a capitalist class dependent on property ownership and advantaged life chances,an alignment of classes with shared interests but no state power,a state elite whose members are drawn overwhelmingly from a power bloc,D,sociology_test,253
"According to Marx, what would the development of the labor movement through factory-based production transform the working class into?",a class in itself,a class by itself,a class for itself,a ruling class,C,sociology_test,254
"According to Mulholland (1998), privatization altered the dynamic between companies and managers such that",flexibility was reduced by the introduction of detailed daily worksheets,the state had greater control than managers over production processes,ownership was transferred from small shareholders to senior managers,employment depended on performance rather than trust and commitment,D,sociology_test,255
"What is the best course of action for a 42-year-old woman who presents to the emergency department after a high-speed motor vehicle collision as a restrained passenger, with shortness of breath, abdominal pain, and vital signs indicating shock, and a chest x-ray showing opacification of the left lower lung field and loss of the diaphragmatic shadow, with subsequent drainage of air followed by greenish fluid upon chest tube placement?",CT scan of the abdomen,CT scan of the chest,Thoracoscopy,Laparotomy,D,professional_medicine_test,256
"What is the most likely diagnosis for a 30-year-old woman who is experiencing mood changes, anxiety, hyperactivity, and sleep disturbances before her period, followed by depression, loss of appetite, irritability, and lethargy when her period starts, despite having no history of psychiatric issues and normal physical exam findings, after undergoing a tuboplasty a year ago for a closed fallopian tube and trying to conceive for over two years with her husband?",adjustment disorder with depressed mood,"bipolar I disorder, mixed",cyclothymic personality,generalized anxiety disorder,A,professional_medicine_test,258
What statement among the following is accurate?,Economic Profits = Accounting Profits.,Economic Costs = Explicit Costs plus Implicit Costs.,Economic Costs = Explicit Costs minus Implicit Costs.,Opportunity Costs = Economic Profits.,B,high_school_microeconomics_test,262
Which of the following options best aligns with minimal barriers to entry or easy access?,"More consumer choices, greater price elasticity of demand, more competitors.","More consumer choices, lower price elasticity of demand, more competitors.","More consumer choices, greater price elasticity of demand, fewer competitors.","Fewer consumer choices, lower price elasticity of demand, fewer competitors.",A,high_school_microeconomics_test,263
What would Matt's demand curve for bratwurst look like if his total utility increased at a constant rate with each additional bratwurst consumed?,Vertical,Horizontal,Downward sloping,Upward sloping,B,high_school_microeconomics_test,264
What level of output would the government induce to regulate a natural monopoly to produce an allocatively efficient level?,where price is equal to average total cost.,where marginal revenue equals marginal cost.,where normal profits are made.,where price is equal to marginal cost.,D,high_school_microeconomics_test,265
What is meant by self-executing treaties?,Self-executing treaties are adopted only by the executive,Self-executive treaties are clear and precise enough so as not to require any further implementing measures,Self-executing rely on implementing measures stipulated in the treaty Itself,Self-executing treaties follow the doctrine of transformation,B,international_law_test,266
What does an act jure gestionis refer to?,Acts jure gestionis are those undertaken by States in a private capacity,All purchases by the State are acts jure gestionis,All acts undertaken by State corporations are jure gestionis,All conduct undertaken by government officials in their free time is considered jus gestionis.,A,international_law_test,267
"Which of the following is an immediate (one-step) consequence in PL of the given premises: (A ∨ B) ⊃ (C ∨ D), A ∨ B, ~C?",~A ∨ ~B,~~C,C ∨ D,(A ∨ B) ⊃ D,C,formal_logic_test,268
"Which of the following best translates the following into predicate logic? 

Leroy is bad only if DJ Khaled shouts his name.",Sk ≡ Bl,Bl ≡ Sk,Bx ⊃ Sy,Bl ⊃ Sk,D,formal_logic_test,269
"Translate the formula ~C ∨ D into natural, English sentences using the following key:
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.",If Emily doesn't stop working then Russell makes dinner.,Emily stops working unless Russell makes dinner.,Emily stops working unless Russell doesn't make dinner.,Emily doesn't stop working unless Russell makes dinner.,D,formal_logic_test,270
"In an arithmetic progression starting with 9, what is the smallest possible value for the third term if after adding 2 to the second term and 20 to the third term, the three numbers form a geometric progression?",2,1,9,16,B,high_school_mathematics_test,271
"About how far is the person from their starting point if they walked 3 miles to the east, 10 miles north, 6 miles west, and 16 miles south?",3.4,6.7,9.2,12.8,B,high_school_mathematics_test,272
How many different combinations of 5 students can be chosen from a group of 6 students?,12,3,5,6,D,high_school_mathematics_test,273
"After 10 years, what is the approximate value of an investment that grows at a rate of 320*e^(0.08t) dollars per year after t years, starting with an initial investment of $4000?","$4,902","$8,902","$7,122","$12,902",B,high_school_mathematics_test,274
What is the total number of three-digit positive integers?,899,900,1000,999,B,high_school_mathematics_test,275
Which of the following is an appeal to compassion?,an appeal to emotion that argues against a position based only on negative personal feelings toward the position,an appeal to emotion that argues a conclusion should be made based only on feeling sorry for someone,an appeal to emotion that argues an action should be taken based only on the need to be loyal to someone,arguing that an idea should be accepted based only on who originated the idea,B,logical_fallacies_test,276
Dismissing a claim solely based on its being tradition is:,Not reasonable,An appeal to tradition,An appeal to the masses,Reasonable,A,logical_fallacies_test,277
What is the ad nauseam fallacy?,arguing that something should be done because that's the way it's been done in the past.,"arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects",reasoning that a conclusion is true because it's been claimed so often,reasoning that a claim is true because so many people believe it is true,C,logical_fallacies_test,278
