question,A,B,C,D,answer,subject,question_id
The version of utilitarianism that Brandt defends makes rightness a func@tion of:,the consequences of particular acts.,the actual and recognized rules of society.,ideal rules.,whether or not one’s maxim can be universalized.,C,philosophy_test,172
Aris}totle ends the Ethics with a segue to a discussion of:,aesthetics.,theology.,politics.,natural science.,C,philosophy_test,173
Hare asserts that ethics and science are similar in{ that:,both seek to provide us with true beliefs about the world.,both are essential components of a worthwhile life.,both involve testing general principles by examining their logical consequences.,all of the above.,C,philosophy_test,175
Singer claims that famine r`elief organizations direct our aid to distant refugees:,more effectively than we could get it to our close neighbors.,almost as effectively as we could get it to our close neighbors.,"quite inefficiently, but they are still worth donating to.","very inefficiently, and are therefore not worth donating to.",B,philosophy_test,176
"Acc*ording to Stevenson, empirical methods:",are never useful in resolving ethical disagreement.,"are sometimes useful in resolving ethical disagreement, but are not always sufficient.",are in principle always sufficient for resolving ethical disagreement.,provide the only responsible way to engage in moral philosophy.,B,philosophy_test,177
Electrons i}n p-type material of a semi-conductor are called as,either minority carriers or majority carriers,minority carriers,majority carriers,valance carriers,B,electrical_engineering_test,180
A @diode (p-n junction) when reverse biased act as,On Switch,Zener diode,Capacitor,Off Switch,D,electrical_engineering_test,181
Which of the following methods \is/are used for reactive or voltage compensation,shunt capacitor,series capacitor,generation excitation control,all of the above,D,electrical_engineering_test,182
Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules beca`use,all molecular bonds absorb IR radiation,IR peak intensities are related to molecular mass,most organic functional groups absorb in a characteristic region of the IR spectrum,each element absorbs at a characteristic wavelength,C,college_chemistry_test,184
With respect to hair} loss,Men lose but women do not,Men are more systematic than women,Women lose hair less frequently but more rapidly than men,Environmental factors are the main causes,B,human_aging_test,187
In which coun{try do most individuals choose to be cremated?,Japan,U. S. A.,Kenya,Mexico,A,human_aging_test,188
Radioactivity@ has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,conceptual_physics_test,189
Bow waves are produc#ed by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,conceptual_physics_test,190
"When an element eject@s a beta particle, the atomic number of that element",reduces by 1,increases by 1,reduces by 2,increases by 2,B,conceptual_physics_test,191
"When light undergoes interference, it can som`etimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,conceptual_physics_test,192
The magnetic field lines about a current\-carrying wire form,circles,radial lines,eddy currents,energy loops,A,conceptual_physics_test,193
Assume commercial banks save no excess reserves and the reserve requirement is 20 perce`nt. How much money is created in new loans from all banks after this bank receives a deposit of $1000 ?,$800,"$1,000","$4,000","$5,000",C,high_school_macroeconomics_test,194
Suppose the reserve ratio is 0.1.{ If a bank gets $200 in deposits what is the maximum amount it can lend?,$20,$180,"$2,000",Greater than $200 but less than $500,B,high_school_macroeconomics_test,196
The crowding-out effect from government b{orrowing is best described as,the rightward shift in AD in response to the decreasing interest rates from contractionary fiscal policy.,the leftward shift in AD in response to the rising interest rates from expansionary fiscal policy.,the effect of the President increasing the money supply which decreases real interest rates and increases AD.,the effect on the economy of hearing the chairperson of the central bank say that he or she believes that the economy is in a recession.,B,high_school_macroeconomics_test,197
Which component of a nation's balance of payments recognizes the purchase and sale of real and financial assets between nat@ions?,The capital account,The official reserves account,The current account,The trade deficit account,A,high_school_macroeconomics_test,198
Expansionary fiscal pol`icy would best be prescribed to,eliminate a recessionary gap,reduce inflation,reduce the interest rate,eliminate an inflationary gap,A,high_school_macroeconomics_test,199
In the short run contraction*ary monetary policy causes aggregate demand to output to  and the price level to Aggregate demand      Output      Price Level,Increases            Increases      Increases,Increases            Increases      Decreases,Decreases            Decreases      Increases,Decreases            Decreases      Decreases,D,high_school_macroeconomics_test,201
"As of 2017, the share of GDP spent on the mil}itary by Saudi Arabia is about",1%,3%,6%,10%,D,global_facts_test,202
"As of 2013, share of people in the Un#ited States who think political parties are corrupt is",36%,56%,76%,96%,C,global_facts_test,203
Which of the following are po#ssible constraints on US foreign policy decision making?,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,D,us_foreign_policy_test,204
Wha{t policies are part of a grand strategy of Offshore Balancing?,Maintaining a balance between the United States and other countries and not entering into alliances,Investing equally in domestic and international security with balanced protection against terrorism and other states,"Embrace multi-polarity, show greater restraint internationally and require other states to meet their own security burdens.",Isolate the US from the international system and not seek global power,C,us_foreign_policy_test,205
"}A deficiency of which vitamin has been associated with enamel defects and increased risk of dental caries?
",Vitamin A,Folic acid,Vitamin C,Vitamin D,D,nutrition_test,206
"Are most developing-country far*mers engaged in subsistence or commercial production?
",Almost all are subsistence farmers.,"Very few engage in subsistence production, instead selling almost all of their produce on the market.",Virtually all small-scale producers are engage in some self-provisioning and market sales.,37% engage in pure subsistence production.,C,nutrition_test,207
"Alcohol is a major risk factor for cancer developmen}t. Which alcohol metabolite plays a prominent role in cancer development?
",fatty acid ethyl esters (FAEE),acetate,acetaldehyde,alcohol,C,nutrition_test,208
"Why might some biochemical (eg plasma or serum) indice{s of micronutrient status give misleading results in people with infections or inflammatory states?
","Because people who are sick often alter their diets, and may eat less food.",Because the accuracy of some laboratory assays may be compromised in samples from people who are sick.,"Because some metabolic pathways are altered in sick people, which changes their micronutrient requirements.",Because an acute phase reaction results in changes in inter-tissue distributions of certain micronutrients.,D,nutrition_test,209
"The test for che{cking mean plasma glucose concentration over the previous 8-10 weeks is:
",Hemoglobin A1c,Oral glucose tolerance test (OGTT),Fructosamine test,Fasting plasma glucose concentration,A,nutrition_test,210
"On an average daily basis, the gross energy intake of a healthy woman is 9279 kJ, the energy content of her faeces and urine are 647 kJ and 318 kJ, respectively. Her average daily digestible energy intake and metabolisable energy intake would be, resp#ectively,:
",647 kJ and 318 kJ,9279-318 kJ and 9279-647 kJ,9279+318 kJ and 9279+647 kJ,9279-647 kJ and 9279-(647+318) kJ,D,nutrition_test,211
Which part of the brain was thought to play the most important role in the Can{non-Bard theory of emotion?,thalamus,hippocampus,medulla,association areas,A,high_school_psychology_test,217
Learned helplessness is most likely to be direct#ly related to,the Barnum effect.,self-serving bias.,an external locus of control.,unconditional positive regard.,C,high_school_psychology_test,218
"While visiting a museum, you study a statue by walking around it and examining it from many different *places in the room. The retinal images of the statue change, but you do not perceive these changes because of",convergence,motion parallax,perceptual constancy,interpositioning,C,high_school_psychology_test,219
Dr. Bonneau helped a company redesign its offices to raise morale and the productivity of the employees. With which of the following subfields of psychology is Dr. Bon#neau most likely affiliated?,counseling,educational,industrial/organizational,developmental,C,high_school_psychology_test,220
Detection of a just-noticeable diffe`rence (JND) depends on the,"presence of a ""no stimulus"" control and the sensitivity of the signal-detection equipment",initial determination of the absolute threshold and the variation of the difference threshold,frequency of the existing stimulus and the presence of one or more sensory modalities,intensity of the new stimulus and that of the stimulus already present,D,high_school_psychology_test,221
Which of the following perspecti{ves is most concerned with self-esteem and actualizing one's potential?,humanistic,behavioral,cognitive,psychodynamic,A,high_school_psychology_test,222
The most common somatic nervous system neurotransmitter\ to cause muscle contractions is,acetylcholine,dopamine,endorphins,epinephrine,A,high_school_psychology_test,225
Perception refers to #the process by which,receptors gather information from the environment,sense organs transmit information to the brain for initial processing,the brain organizes and interprets sensations,the brain minimizes responses to stimuli that do not change,C,high_school_psychology_test,226
 This is a marketin@g communications activity concerned with providing support for the sales force and merchandising personnel:,Store marketing.,Field marketing.,Sales promotions.,Personal selling.,B,marketing_test,228
 What type of media has th{e primary objective to get the attention of shoppers and to stimulate them to make a purchase? (Examples include point-of-purchase displays and packaging.),Broadcast media.,Interactive media.,In-store media.,Support media.,C,marketing_test,229
" It has been claimed that the three major outcomes from the development of relationship trust are satisfacti{on, ___________, and continuity (Pavlou, 2002).",Reduced perceived risk.,Service recovery.,Service processes.,Efficiency.,A,marketing_test,230
"Once the agency has discussed the brief with the client, the agency provides a detailed outline of how they intend to investi{gate the problem. This document is called the ____________:",Research brief.,Research proposal.,Research question.,Research programme.,B,marketing_test,231
Which of the following types of tests is` designed primarily to help predict how successful a person is likely to be in learning new skills?,Achievement,Aptitude,Interest,Personality,B,marketing_test,232
"In a pa#tient with a normal healthy mouth, you would expect the mucosa covering the alveolar process supporting the mandibular teeth to be",light pink in colour on both sides of the mucogingigival junction.,light pink below the mucogingival junction and red above it.,red below the mucogingival junction and light pink above it.,red on both sides of the mucogingival junction.,C,anatomy_test,233
Which of the following cavities are separ`ated by the diaphragm?,Abdominal and pelvic,Cranial and spinal,Thoracic and abdominal,Pericardial and pleural,C,anatomy_test,234
A patient} suffers a CVA in the area of the left internal capsule conveying motor neurons to the right leg. The patient's leg will exhibit,spastic paralysis.,flaccid paralysis.,tremor.,hyporeflexia.,A,anatomy_test,235
Which of the following terms refers to Archaic Greek statues whose poses‚Äîrigidly frontal wit#h clenched fists‚Äîrecall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,miscellaneous_test,236
Animals in which of the following groups may# have a backbone and a spinal cord?,Mollusks,Chordates,Invertebrates,Echinoderms,B,miscellaneous_test,237
How many` airplanes are in the air worldwide right now (as of 2014)?,5000,20000,80000,320000,B,miscellaneous_test,238
Which of th*ese painting tools has bristles on it?,Easel,Knife,Brush,Palette,C,miscellaneous_test,240
Which of the following is an example of a concurrent powe@r?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,miscellaneous_test,241
The process of drilling holes in the skull is called #what?,bifurcation,trepanation,aeronomy,skullduggery,B,miscellaneous_test,242
Cheese }is a necessary ingredient in which of these dishes?,sushi,french fries,veal parmigiano,chicken pot pie,C,miscellaneous_test,243
Which of the #following words does not appear in the Lewis Carroll poem 'Jabberwocky'?,brillig,bandersnatch,wabe,grelp,D,miscellaneous_test,244
Elephant t*usks are made of what material?,Coral,Ivory,Bone,Calcium,B,miscellaneous_test,245
What country does Bordeaux wine c@ome from?,France,Spain,Australia,United States,A,miscellaneous_test,246
In which layer of Earth is t#he geomagnetic field generated?,Outer core,Crust,Mantle,Inner core,A,miscellaneous_test,248
The 'Arkansas toothpick' is better known by what nam`e?,Scottie Pippen,spare rib,pinkie finger,Bowie knife,D,miscellaneous_test,249
What company ma{kes Oreo cookies?,General Mills,Nabisco,Keebler,Kraft,B,miscellaneous_test,250
How ma`ny moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,miscellaneous_test,251
Butler & Stokes (1969) suggested that worki`ng class support for the Labour Party arose from:,socialization into working class families and communities,rational calculation of self-interest,issue-based concerns about culture and lifestyle,false consciousness and the acceptance of hegemonic values,A,sociology_test,252
Scott (1991) introduced the term 'power elite' to describ@e:,"the ruling class, or bourgeoisie, who exploit the proletariat",a capitalist class dependent on property ownership and advantaged life chances,an alignment of classes with shared interests but no state power,a state elite whose members are drawn overwhelmingly from a power bloc,D,sociology_test,253
Mar`x said that the development of the labour movement through factory-based production would turn the working class into:,a class in itself,a class by itself,a class for itself,a ruling class,C,sociology_test,254
Mulholland (1998) argued that privatization changed the relationship bet`ween companies and managers in that:,flexibility was reduced by the introduction of detailed daily worksheets,the state had greater control than managers over production processes,ownership was transferred from small shareholders to senior managers,employment depended on performance rather than trust and commitment,D,sociology_test,255
"A 42-year-old woman is brought to the emergency department 10 minutes after being involved in a high-speed motor vehicle collision in which she was a restrained passenger. On arrival, she has shortness of breath and abdominal pain. Her pulse is 135/min, respirations are 30/min, and blood pressure is 80/40 mm Hg. Breath sounds are decreased at the left lung base. An x-ray of the chest shows opacification of the left lower lung field with loss of the diaph#ragmatic shadow. Placement of a chest tube yields a small amount of air followed by greenish fluid. Which of the following is the most appropriate next step in management?",CT scan of the abdomen,CT scan of the chest,Thoracoscopy,Laparotomy,D,professional_medicine_test,256
"A 30-year-old nulliparous female presents to the office with the complaint of mood changes. She says that for the past several months she has been anxious, hyperactive, and unable to sleep 3 to 4 days prior to the onset of menses. She further reports that on the day her menses begins she becomes acutely depressed, anorectic, irritable, and lethargic. She has no psychiatric history. Physical examination findings are normal. She {and her husband have been trying to conceive for over 2 years. History reveals a tuboplasty approximately 1 year ago to correct a closed fallopian tube. The most likely diagnosis is",adjustment disorder with depressed mood,"bipolar I disorder, mixed",cyclothymic personality,generalized anxiety disorder,A,professional_medicine_test,258
Which of the f*ollowing statements is correct?,Economic Profits = Accounting Profits.,Economic Costs = Explicit Costs plus Implicit Costs.,Economic Costs = Explicit Costs minus Implicit Costs.,Opportunity Costs = Economic Profits.,B,high_school_microeconomics_test,262
Relatively free or easy entry (low or nonexistent barriers to entry) is best ma*tched by which of the following?,"More consumer choices, greater price elasticity of demand, more competitors.","More consumer choices, lower price elasticity of demand, more competitors.","More consumer choices, greater price elasticity of demand, fewer competitors.","Fewer consumer choices, lower price elasticity of demand, fewer competitors.",A,high_school_microeconomics_test,263
"If Matt's total utility from consuming bratwurst increased at a constant rate, no matter how many bratwurst Matt consumed, what would Matt's demand curve }for bratwurst look like?",Vertical,Horizontal,Downward sloping,Upward sloping,B,high_school_microeconomics_test,264
"If the government wishes to regulate a natural monopo{ly so that it produces an allocatively efficient level of output, it would be at an output",where price is equal to average total cost.,where marginal revenue equals marginal cost.,where normal profits are made.,where price is equal to marginal cost.,D,high_school_microeconomics_test,265
What are self-executing@ treaties?,Self-executing treaties are adopted only by the executive,Self-executive treaties are clear and precise enough so as not to require any further implementing measures,Self-executing rely on implementing measures stipulated in the treaty Itself,Self-executing treaties follow the doctrine of transformation,B,international_law_test,266
What is an{ act jure gestionis?,Acts jure gestionis are those undertaken by States in a private capacity,All purchases by the State are acts jure gestionis,All acts undertaken by State corporations are jure gestionis,All conduct undertaken by government officials in their free time is considered jus gestionis.,A,international_law_test,267
"#Which of the following propositions is an immediate (one-step) consequence in PL of the given premises?
(A ∨ B) ⊃ (C ∨ D)
A ∨ B
~C",~A ∨ ~B,~~C,C ∨ D,(A ∨ B) ⊃ D,C,formal_logic_test,268
Select the best trans*lation into predicate logic: Leroy is bad only if DJ Khaled shouts his name.,Sk ≡ Bl,Bl ≡ Sk,Bx ⊃ Sy,Bl ⊃ Sk,D,formal_logic_test,269
"Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy pla{ys Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
~C ∨ D",If Emily doesn't stop working then Russell makes dinner.,Emily stops working unless Russell makes dinner.,Emily stops working unless Russell doesn't make dinner.,Emily doesn't stop working unless Russell makes dinner.,D,formal_logic_test,270
"A sequence of three real numbers forms an arithmetic progression with a first term of 9. If 2 is added to the second term and 20 is added to the third term, the three resulting numbers form a geometric progress@ion. What is the smallest possible value for the third term of the geometric progression?",2,1,9,16,B,high_school_mathematics_test,271
"A person walked 3 miles to the east, then turned north and walked 10 miles, then turned west and walked 6 miles, and finally turned south and walked 16 miles. Approximately how far is the person from his st#arting point in miles?",3.4,6.7,9.2,12.8,B,high_school_mathematics_test,272
In how many ways can 5 students be selected from a group of 6 stu{dents?,12,3,5,6,D,high_school_mathematics_test,273
An investment of $4000 grows at the rate of 320*e^(0.08t) dollars* per year after t years. Its value after 10 years is approximately,"$4,902","$8,902","$7,122","$12,902",B,high_school_mathematics_test,274
How many t}hree-digit positive integers are there?,899,900,1000,999,B,high_school_mathematics_test,275
Appeal to compass\ion is,an appeal to emotion that argues against a position based only on negative personal feelings toward the position,an appeal to emotion that argues a conclusion should be made based only on feeling sorry for someone,an appeal to emotion that argues an action should be taken based only on the need to be loyal to someone,arguing that an idea should be accepted based only on who originated the idea,B,logical_fallacies_test,276
Automatically rejecting a c*laim just because it's traditional is...,Not reasonable,An appeal to tradition,An appeal to the masses,Reasonable,A,logical_fallacies_test,277
The `_ad nauseam_ fallacy is,arguing that something should be done because that's the way it's been done in the past.,"arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects",reasoning that a conclusion is true because it's been claimed so often,reasoning that a claim is true because so many people believe it is true,C,logical_fallacies_test,278
